id,name,type
KP,Krisen-PR,3
N,Nachhaltigkeit,3
IK,Interne Kommunikation,3
SM,Social Media,3
G,Gesundheit,3
TI,Technologie und Innovation,3
BB,Bewegtbild,3
CM,Corporate Media,3
CS,Content-Strategie,3
IFK,Influencer-Kommunikation,3
KK,Kreative Kommunikation,3
LK,Live-Kommunikation,3
mcG,mc Group,1
fiA,fischerAppelt,1
Ket,Ketchum,1
Ede,Edelman,1
Oli,Oliver Schrott Kommunikation,1
Ser,Serviceplan Content Group,1
Web,Weber Shandwick,1
Ach,achtung!,1
Fak,Faktor 3,1
Res,ressourcenmangel,1
Hil,Hill+Knowlton Strategies,1
Hae,haeberlein u mauerer,1
Fle,Fleishman Hillard Germany,1
AuB,AuB One Kommunikationsagentur,1
FuH,FuH Porter Novelli,1
Pal,Palmer Hargreaves,1
Msl,MSL,1
Bur,Burson-Marsteller,1
Sty,Styleheads Gesellschaft für Entertainment,1
Jes,Jeschenko MedienAgentur,1
Bcw,Burson Cohn & Wolfe (BCW),1
Mau,haebmau. ,1
Mar,markenzeichen Gruppe,1
Kon,Faktenkontor,1
Orc,ORCA Agenturgruppe,1
Kom,komm.passion,1
Pia,PIABO P,1
Fhc,FuH Communications,1
Hav,Havas Germany,1
Seg,segmenta communications,1
